identity/LineItemId,bill/BillingPeriodStartDate,lineItem/UsageStartDate,lineItem/ProductCode,lineItem/UsageType,lineItem/Operation,lineItem/UnblendedCost,lineItem/UsageAmount,anomaly/IsAnomaly,anomaly/AnomalyReason
li-2025-11-27-AmazonEC2-1,2025-11-01 00:00:00,2025-11-27 00:00:00,AmazonEC2,AmazonEC2-usage-type,RunInstances,132.48357076505616,1380.0371954693348,0,Normal
li-2025-11-27-AmazonRDS-2,2025-11-01 00:00:00,2025-11-27 00:00:00,AmazonRDS,AmazonRDS-usage-type,CreateDBInstance,61.72347139765763,411.4898093177176,0,Normal
li-2025-11-27-AmazonS3-3,2025-11-01 00:00:00,2025-11-27 00:00:00,AmazonS3,AmazonS3-usage-type,TimedStorage-ByteHrs,15.647688538100692,680.3342842652474,0,Normal
li-2025-11-27-AmazonDynamoDB-4,2025-11-01 00:00:00,2025-11-27 00:00:00,AmazonDynamoDB,AmazonDynamoDB-usage-type,ProvisionedWriteCapacityUnit,26.21842388512642,40336.03674634834,0,Normal
li-2025-11-27-AWSDataTransfer-5,2025-11-01 00:00:00,2025-11-27 00:00:00,AWSDataTransfer,AWSDataTransfer-usage-type,DataTransfer-Out-Bytes,8.50887461138704,94.54305123763378,0,Normal
li-2025-11-28-AmazonEC2-1,2025-11-01 00:00:00,2025-11-28 00:00:00,AmazonEC2,AmazonEC2-usage-type,RunInstances,131.5452064610007,1370.2625673020907,0,Normal
li-2025-11-28-AmazonRDS-2,2025-11-01 00:00:00,2025-11-28 00:00:00,AmazonRDS,AmazonRDS-usage-type,CreateDBInstance,64.07103056961304,427.1402037974203,0,Normal
li-2025-11-28-AmazonS3-3,2025-11-01 00:00:00,2025-11-28 00:00:00,AmazonS3,AmazonS3-usage-type,TimedStorage-ByteHrs,14.819121865976486,644.3096463468038,0,Normal
li-2025-11-28-AmazonDynamoDB-4,2025-11-01 00:00:00,2025-11-28 00:00:00,AmazonDynamoDB,AmazonDynamoDB-usage-type,ProvisionedWriteCapacityUnit,24.579864154257482,37815.17562193459,0,Normal
li-2025-11-28-AWSDataTransfer-5,2025-11-01 00:00:00,2025-11-28 00:00:00,AWSDataTransfer,AWSDataTransfer-usage-type,DataTransfer-Out-Bytes,8.627834268496771,95.8648252055197,0,Normal
li-2025-11-29-AmazonEC2-1,2025-11-01 00:00:00,2025-11-29 00:00:00,AmazonEC2,AmazonEC2-usage-type,RunInstances,86.50981135783017,901.1438683107309,0,Normal
li-2025-11-29-AmazonRDS-2,2025-11-01 00:00:00,2025-11-29 00:00:00,AmazonRDS,AmazonRDS-usage-type,CreateDBInstance,51.273439510684405,341.8229300712294,0,Normal
li-2025-11-29-AmazonS3-3,2025-11-01 00:00:00,2025-11-29 00:00:00,AmazonS3,AmazonS3-usage-type,TimedStorage-ByteHrs,14.075082167486968,611.9600942385639,0,Normal
li-2025-11-29-AmazonDynamoDB-4,2025-11-01 00:00:00,2025-11-29 00:00:00,AmazonDynamoDB,AmazonDynamoDB-usage-type,ProvisionedWriteCapacityUnit,24.550169976607222,37769.49227170342,0,Normal
li-2025-11-29-AWSDataTransfer-5,2025-11-01 00:00:00,2025-11-29 00:00:00,AWSDataTransfer,AWSDataTransfer-usage-type,DataTransfer-Out-Bytes,10.879112621699395,120.87902912999328,0,Normal
li-2025-11-30-AmazonEC2-1,2025-11-01 00:00:00,2025-11-30 00:00:00,AmazonEC2,AmazonEC2-usage-type,RunInstances,83.30976967911883,867.8101008241545,0,Normal
li-2025-11-30-AmazonRDS-2,2025-11-01 00:00:00,2025-11-30 00:00:00,AmazonRDS,AmazonRDS-usage-type,CreateDBInstance,53.66518632576165,357.767908838411,0,Normal
li-2025-11-30-AmazonS3-3,2025-11-01 00:00:00,2025-11-30 00:00:00,AmazonS3,AmazonS3-usage-type,TimedStorage-ByteHrs,15.496656198292593,673.7676607953301,0,Normal
li-2025-11-30-AmazonDynamoDB-4,2025-11-01 00:00:00,2025-11-30 00:00:00,AmazonDynamoDB,AmazonDynamoDB-usage-type,ProvisionedWriteCapacityUnit,23.28830347513901,35828.159192521554,0,Normal
li-2025-11-30-AWSDataTransfer-5,2025-11-01 00:00:00,2025-11-30 00:00:00,AWSDataTransfer,AWSDataTransfer-usage-type,DataTransfer-Out-Bytes,12.673808033092737,140.82008925658596,0,Normal
li-2025-12-01-AmazonEC2-1,2025-12-01 00:00:00,2025-12-01 00:00:00,AmazonEC2,AmazonEC2-usage-type,RunInstances,130.93764102343962,1363.9337606608294,0,Normal
li-2025-12-01-AmazonRDS-2,2025-12-01 00:00:00,2025-12-01 00:00:00,AmazonRDS,AmazonRDS-usage-type,CreateDBInstance,59.35050362757309,395.6700241838206,0,Normal
li-2025-12-01-AmazonS3-3,2025-12-01 00:00:00,2025-12-01 00:00:00,AmazonS3,AmazonS3-usage-type,TimedStorage-ByteHrs,16.05561727547482,698.0703163249922,0,Normal
li-2025-12-01-AmazonDynamoDB-4,2025-12-01 00:00:00,2025-12-01 00:00:00,AmazonDynamoDB,AmazonDynamoDB-usage-type,ProvisionedWriteCapacityUnit,25.088738071767892,38598.058571950605,0,Normal
li-2025-12-01-AWSDataTransfer-5,2025-12-01 00:00:00,2025-12-01 00:00:00,AWSDataTransfer,AWSDataTransfer-usage-type,DataTransfer-Out-Bytes,10.88599906194883,120.95554513276478,0,Normal
li-2025-12-02-AmazonEC2-1,2025-12-01 00:00:00,2025-12-02 00:00:00,AmazonEC2,AmazonEC2-usage-type,RunInstances,127.74873074947044,1330.7159453069837,0,Normal
li-2025-12-02-AmazonRDS-2,2025-12-01 00:00:00,2025-12-02 00:00:00,AmazonRDS,AmazonRDS-usage-type,CreateDBInstance,64.14487964209327,427.6325309472885,0,Normal
li-2025-12-02-AmazonS3-3,2025-12-01 00:00:00,2025-12-02 00:00:00,AmazonS3,AmazonS3-usage-type,TimedStorage-ByteHrs,17.291034001262183,751.7840870113993,0,Normal
li-2025-12-02-AmazonDynamoDB-4,2025-12-01 00:00:00,2025-12-02 00:00:00,AmazonDynamoDB,AmazonDynamoDB-usage-type,ProvisionedWriteCapacityUnit,24.491552207780288,37679.311088892755,0,Normal
li-2025-12-02-AWSDataTransfer-5,2025-12-01 00:00:00,2025-12-02 00:00:00,AWSDataTransfer,AWSDataTransfer-usage-type,DataTransfer-Out-Bytes,9.840272527756195,109.33636141951328,0,Normal
li-2025-12-03-AmazonEC2-1,2025-12-01 00:00:00,2025-12-03 00:00:00,AmazonEC2,AmazonEC2-usage-type,RunInstances,130.83251387631034,1362.838686211566,0,Normal
li-2025-12-03-AmazonRDS-2,2025-12-01 00:00:00,2025-12-03 00:00:00,AmazonRDS,AmazonRDS-usage-type,CreateDBInstance,60.1845781420882,401.23052094725466,0,Normal
li-2025-12-03-AmazonS3-3,2025-12-01 00:00:00,2025-12-03 00:00:00,AmazonS3,AmazonS3-usage-type,TimedStorage-ByteHrs,18.22254491210319,792.2845613957908,0,Normal
li-2025-12-03-AmazonDynamoDB-4,2025-12-01 00:00:00,2025-12-03 00:00:00,AmazonDynamoDB,AmazonDynamoDB-usage-type,ProvisionedWriteCapacityUnit,24.02332508002318,36958.961661574125,0,Normal
li-2025-12-03-AWSDataTransfer-5,2025-12-01 00:00:00,2025-12-03 00:00:00,AWSDataTransfer,AWSDataTransfer-usage-type,DataTransfer-Out-Bytes,9.24063974497287,102.673774944143,0,Normal
li-2025-12-04-AmazonEC2-1,2025-12-01 00:00:00,2025-12-04 00:00:00,AmazonEC2,AmazonEC2-usage-type,RunInstances,144.9415652077622,1509.8079709141896,0,Normal
li-2025-12-04-AmazonRDS-2,2025-12-01 00:00:00,2025-12-04 00:00:00,AmazonRDS,AmazonRDS-usage-type,CreateDBInstance,64.73727944856464,431.5818629904309,0,Normal
